output
21
14
14
13
2
6
13
20
10
18
6
11
8
23
13
19
27
5
1
15
1
32
19
20
18
9
17
16
35
15
9
5
11
25
10
19
7
28
31
23
6
20
20
33
8
14
16
12
17
4
25
3
25
18
16
3
8
27
1
25
3
42
14
20
1
18
10
28
2
11
4
23
20
11
17
14
29
19
19
21
17
39
14
21
33
23
7
21
38
27
8
10
4
7
23
15
25
29
22
36
27
14
15
16
23
20
36
33
29
16
5
7
18
10
43
11
27
5
12
7
10
15
1
20
12
36
23
1
11
19
19
8
41
4
18
13
12
5
13
10
6
8
29
3
8
5
8
20
28
7
34
15
9
31
22
9
30
18
12
16
37
2
17
11
15
5
8
19
24
18
7
43
6
30
43
3
10
11
21
5
15
13
7
13
6
24
34
39
15
8
13
30
6
6
3
9
14
15
16
4
13
10
12
1
3
17
20
13
4
8
15
26
6
14
13
26
9
10
25
36
13
7
7
6
13
18
2
19
8
5
4
12
22
14
7
11
14
14
17
21
4
15
10
30
3
14
23
